S-_A-_L1_V1,S-_A-_L1_V2,S-_A-_L1_V3,S-_A-_L2_V1,S-_A-_L2_V2,S-_A-_L2_V3,S-_A-_L3_V1,S-_A-_L3_V2,S-_A-_L3_V3,S-_A+_L1_V1,S-_A+_L1_V2,S-_A+_L1_V3,S-_A+_L2_V1,S-_A+_L2_V2,S-_A+_L2_V3,S-_A+_L3_V1,S-_A+_L3_V2,S-_A+_L3_V3,S+_A-_L1_V1,S+_A-_L1_V2,S+_A-_L1_V3,S+_A-_L2_V1,S+_A-_L2_V2,S+_A-_L2_V3,S+_A-_L3_V1,S+_A-_L3_V2,S+_A-_L3_V3,S+_A+_L1_V1,S+_A+_L1_V2,S+_A+_L1_V3,S+_A+_L2_V1,S+_A+_L2_V2,S+_A+_L2_V3,S+_A+_L3_V1,S+_A+_L3_V2,S+_A+_L3_V3
0.0006220090635028186,0.0022130522013396807,-0.0019462740920594603,-0.00019085932055627752,-0.006317250398337303,-0.008301511431131638,-0.00884374702328606,-0.012128573097777842,-0.015204101819913158,0.005280921099542812,0.00434145902422434,0.0054879379970225114,0.010330479118198682,0.010908825762685023,0.008434777907417135,0.010385314418665097,0.003931621462397987,0.006779947818992771,0.03292283287238809,0.023037173410874433,0.020610247613274457,0.04171906667043552,0.03295788564938114,0.03058761639841259,0.0655928702633029,0.03974128133292286,0.041879985310869394,0.03531760666860511,0.030080575180937607,0.029914564986555085,0.04966970737799887,0.04748302594274878,0.04603360352092922,0.07871240439806393,0.05534821422858589,0.06839101696510823
-0.009992676531161706,-0.024584846098001115,-0.013856817214572197,-0.007602612905088361,-0.02050430637186504,-0.017319058391675378,-0.006476699674305259,-0.023475836008614043,-0.018092979672929752,-0.003438665209114252,-0.0002578899178295826,-0.0023792408809648474,0.006477085222945861,0.00640218935682256,-0.0027007690377733743,0.00527994132782748,-0.002584951302502389,-0.0026454450279534076,0.023552360514049075,0.026824858610896153,0.01135738236440749,0.03785861638540027,0.029359081220569003,0.019418166217100852,0.057140113669602186,0.017873702886169632,0.017492086739034157,0.0377838896799832,0.03954950392700314,0.023756145289825344,0.053072992995038266,0.05020922127684391,0.029143809357633128,0.07290320713460735,0.03817257697854655,0.03749272481857846
-0.002395070698391841,0.0014761356046523707,-0.003500040493996194,0.00378146905542963,-0.00679458061834504,-0.0032723803950872278,0.004984405120527021,-0.002790604940991947,-0.010564489914284934,0.00982827786771688,0.006964967525847786,-0.0035640854411548317,0.00756826295454887,0.001416918455138148,0.004774820984774075,0.00718116768919097,0.010035895359084649,0.00917039106056471,0.029880521952278236,0.019866107675577345,0.014765704417340741,0.034322878427192366,0.02020818469442032,0.010659845079816372,0.03893062218089365,0.03316967233059856,0.017888796930117155,0.0348047579586277,0.031019095409796298,0.02294642835633676,0.04644603183102246,0.03865920045505472,0.03506567757505213,0.04526838680051797,0.0483201875319042,0.036011525538488166
-0.0017463249312592985,-0.0074925833498850816,-0.007654722509462449,-0.008794281607319928,-0.0063037228487381886,-0.009819159433620977,-0.0119203480348411,-0.006989532384479832,-0.010114669512378549,0.00595829928767979,0.004377185359765735,0.0009128671482567415,0.012728456054126869,0.010086278468417413,0.002183446040812105,0.011151924152207419,0.009182566262269643,0.007369125734141933,0.037570789228349985,0.01835427795795739,0.013438722556585389,0.05017671707325021,0.03286286428031686,0.02131094643920111,0.05505922688989176,0.029569298802715638,0.02898646010243525,0.04130783123510912,0.023027233573506,0.02304394234122715,0.057838298730317886,0.046679414516971086,0.03183919406559492,0.0720673918158327,0.04921309377838545,0.04560054373837802
-0.006579223622390534,-0.009409188158220567,-0.008934230640474581,-0.0159514163142374,-0.00771590853553744,-0.008635110743572531,-0.01221757678797979,-0.013269157704242474,-0.014584793220702476,-0.0034859774783955804,-0.0030645139355016775,-0.004292911910628104,-0.0006776687985003637,-0.0014295290493743565,-0.004624318212710456,-0.0024098767387263987,-0.004781604825782585,-0.0011686574573613422,0.018357979046179695,0.011727228348873311,0.00463932068819071,0.018378522615546476,0.01906386498396509,0.009602246823125951,0.0268021724870669,0.02702303302143317,0.018649430099509062,0.020306854040475483,0.016837130400441568,0.011549953926065129,0.018765217169911697,0.028229228457862535,0.01988217266528034,0.036018387299879016,0.03936652379984466,0.03364371531755282
-0.011147626423318315,-0.006435433296498313,-0.0052288112403680136,-0.011589040266318297,-0.011295904324820898,-0.004346108575281128,-0.0036443206540693446,-0.011896166945073748,-0.015135652557002832,-0.0035410002937740397,0.0014995840295679696,-0.002412895478254712,-0.00025598258349739073,-0.002632318623289523,-0.004691063620527397,0.007287060790343736,0.002698230599631189,-0.00143183684520649,0.03299679415956179,0.029822407393171387,0.014992123511358982,0.042385464258073935,0.031116869113373864,0.03810078265691307,0.060235004710314254,0.0481519720113482,0.04262744507127443,0.03462092028903592,0.03128544801618422,0.01917335751775111,0.04771900546522813,0.03383818573897725,0.04243934577593926,0.0659826614756252,0.056579553326076844,0.05012453016822055
-0.021218155674363054,-0.01794148442577788,-0.010838329877758728,-0.017777106360306747,-0.019228229659289747,-0.0141238205994225,-0.019028209489819994,-0.024748930005886113,-0.020740236851418892,-0.005432173539361628,0.0008220046918468579,-0.0021105419875892227,-0.004349555291664821,-0.004437231356174176,-0.003615319085005359,-0.00667172467104198,0.005229757084474354,-0.0016418871109441812,0.03602721099379995,0.026602604464404284,0.022480226450545794,0.04547633415065541,0.03435913207521796,0.0342029183942848,0.05269532705335972,0.050420448313678236,0.055433366946912824,0.05831462998937628,0.03559066344572917,0.024376012007863844,0.07934367188530543,0.049107696206782535,0.04009382036494748,0.09285294787825682,0.057703072760684634,0.058078816264781334
0.0038702416043705726,0.002877275361847357,-0.007818250684642423,-0.009351443841373826,-0.011312952520921142,-0.008970321889065613,-0.0020772131074717004,-0.004453508797141863,-0.0007180257902162458,0.005496024921444964,0.008530395193714959,-0.003121249105839355,-0.004828778998501881,0.005609909281847383,-0.000676606571822777,0.0008308417856241425,0.004735528336782772,0.0021736257120192923,0.0303170411675224,0.02912749223446326,0.016247620707806974,0.04439979204578216,0.03880951662027639,0.030780042428612743,0.05383652101954542,0.042712532370831766,0.03820854281614648,0.03931775985509474,0.040764037072592435,0.025022564558312033,0.0533616158227993,0.056999243254206064,0.041703878151108244,0.06357842086337906,0.05696659156065928,0.058902958810403694
0.001066899059984269,0.003988492133196947,0.004122764400886109,-0.0002932481131460831,-0.0010699403834197793,-0.0023257492971979,0.0013691431938523885,-0.00418461315313549,-0.007307361515771885,0.0039238119221605885,0.009427048373001167,5.3673173318320375e-05,0.00793277481248361,-0.0010472516580800756,-0.002465975440113285,0.009285332526016928,0.00010151522982450881,3.729794679886689e-05,0.025131572822986146,0.023334176420776617,0.01601872075359246,0.02081489299591637,0.02553794932505879,0.012902608668016438,0.044369813999530765,0.03490036588454265,0.023426588680399985,0.024784947234373297,0.029083549023289156,0.02130913455795625,0.025072130085862288,0.033808109567004585,0.01808664823197941,0.05673838825417178,0.04915304421813383,0.040088281168114095
-0.008644908876461795,-0.013434488786977304,-0.006332593489849999,-0.009862237756063224,-0.015591717113572393,-0.004276006790471946,-0.0172821017037359,-0.008533184932389196,-0.009837689354738915,-0.004822643625202554,0.00384646542436008,0.008684261513568523,-0.006512688834251851,0.00723546701523105,0.01030591629423325,0.002196412295591143,0.008193752586244937,0.002183545027530617,0.0237604914075516,0.019870576004103115,0.017178766656007573,0.029775996173034572,0.03388577455359351,0.029987450555397352,0.03559802167488969,0.02789177578684665,0.02847285408130667,0.030547834746351494,0.03829141751496577,0.031540286914524845,0.04216106850121432,0.055478330584259106,0.04745170230880553,0.044801718250249395,0.0513926039798648,0.05027934421335005
